frameID,CellID,x-axis,y-axis,time
0,0,260,44,8
0,1,266,44,8
0,2,260,50,8
0,3,266,49,8
0,4,865,63,8
1,4,866,55,16
4,4,866,55,24
6,4,866,55,32
9,4,866,55,40
20,4,866,55,48
26,4,866,55,56
34,4,866,55,64
43,4,866,55,72
46,4,866,55,80
51,4,866,55,88
61,4,866,55,96
81,4,866,55,104
82,4,866,55,112
109,4,866,55,120
111,4,866,55,128
130,4,866,55,136
132,4,866,55,144
133,4,866,55,152
142,4,866,55,160
143,4,866,55,168
150,4,866,55,176
151,4,866,55,184
154,4,866,55,192
155,4,866,55,200
157,4,866,55,208
195,4,866,55,216
197,4,866,55,224
0,5,1178,56,8
1,5,1183,60,16
4,5,1183,60,24
6,5,1183,60,32
9,5,1183,60,40
14,5,1191,27,48
17,5,1191,27,56
19,5,1191,27,64
20,5,1191,27,72
22,5,1191,27,80
23,5,1191,27,88
25,5,1191,27,96
29,5,1191,27,104
30,5,1191,27,112
32,5,1191,27,120
39,5,1191,27,128
41,5,1191,27,136
44,5,1191,27,144
45,5,1191,27,152
52,5,1191,27,160
57,5,1191,27,168
60,5,1189,71,176
61,5,1183,60,184
63,5,1191,27,192
70,5,1191,27,200
74,5,1191,27,208
76,5,1191,27,216
77,5,1191,27,224
78,5,1191,27,232
81,5,1191,27,240
83,5,1191,27,248
87,5,1191,27,256
88,5,1191,27,264
89,5,1183,60,272
96,5,1183,60,280
101,5,1183,60,288
103,5,1191,27,296
105,5,1191,27,304
115,5,1183,60,312
126,5,1183,60,320
128,5,1183,60,328
146,5,1191,27,336
148,5,1191,27,344
152,5,1191,27,352
158,5,1191,27,360
167,5,1191,27,368
182,5,1189,71,376
185,5,1183,60,384
188,5,1183,60,392
193,5,1183,60,400
0,6,836,70,8
1,6,836,65,16
3,6,836,65,24
6,6,836,65,32
8,6,836,65,40
12,6,846,78,48
13,6,836,65,56
15,6,836,65,64
20,6,836,65,72
34,6,836,65,80
49,6,836,65,88
57,6,836,65,96
60,6,836,65,104
91,6,846,78,112
97,6,846,78,120
128,6,836,65,128
129,6,836,65,136
167,6,846,78,144
177,6,836,65,152
182,6,846,78,160
184,6,846,78,168
185,6,836,65,176
186,6,846,78,184
189,6,836,65,192
198,6,836,65,200
0,7,844,85,8
1,7,846,78,16
3,7,836,65,24
6,7,836,65,32
8,7,836,65,40
12,7,846,78,48
13,7,836,65,56
15,7,836,65,64
20,7,836,65,72
34,7,836,65,80
49,7,836,65,88
57,7,836,65,96
60,7,836,65,104
91,7,846,78,112
97,7,846,78,120
128,7,836,65,128
129,7,836,65,136
167,7,846,78,144
177,7,836,65,152
182,7,846,78,160
184,7,846,78,168
185,7,836,65,176
186,7,846,78,184
189,7,836,65,192
198,7,836,65,200
0,8,615,125,8
1,8,617,131,16
6,8,617,131,24
15,8,617,131,32
34,8,617,131,40
43,8,617,131,48
44,8,617,131,56
50,8,617,131,64
62,8,617,131,72
105,8,617,131,80
0,9,226,126,8
1,9,229,118,16
6,9,229,118,24
57,9,229,118,32
124,9,229,118,40
162,9,229,118,48
171,9,229,118,56
184,9,229,118,64
185,9,229,118,72
0,10,612,130,8
1,10,617,131,16
6,10,617,131,24
15,10,617,131,32
34,10,617,131,40
43,10,617,131,48
44,10,617,131,56
50,10,617,131,64
62,10,617,131,72
105,10,617,131,80
0,11,612,140,8
1,11,617,131,16
6,11,617,131,24
15,11,617,131,32
34,11,617,131,40
43,11,617,131,48
44,11,617,131,56
50,11,617,131,64
62,11,617,131,72
105,11,617,131,80
0,12,787,145,8
1,12,787,139,16
6,12,787,139,24
62,12,787,139,32
67,12,787,139,40
86,12,787,139,48
108,12,787,139,56
122,12,787,139,64
124,12,787,139,72
158,12,787,139,80
0,13,616,145,8
1,13,617,131,16
6,13,617,131,24
15,13,617,131,32
34,13,617,131,40
43,13,617,131,48
44,13,617,131,56
50,13,617,131,64
62,13,617,131,72
105,13,617,131,80
0,14,791,157,8
4,14,787,139,16
6,14,787,139,24
62,14,787,139,32
67,14,787,139,40
86,14,787,139,48
108,14,787,139,56
122,14,787,139,64
124,14,787,139,72
158,14,787,139,80
0,15,821,172,8
0,16,889,226,8
1,16,882,228,16
3,16,888,211,24
5,16,880,205,32
6,16,880,205,40
10,16,880,205,48
13,16,888,211,56
20,16,888,211,64
25,16,880,205,72
30,16,880,205,80
31,16,876,214,88
39,16,880,205,96
40,16,888,211,104
43,16,880,205,112
49,16,888,211,120
51,16,892,210,128
55,16,888,211,136
63,16,892,210,144
64,16,888,211,152
72,16,888,211,160
74,16,892,210,168
76,16,888,211,176
81,16,880,205,184
86,16,882,228,192
87,16,888,211,200
88,16,880,205,208
94,16,876,214,216
100,16,877,221,224
102,16,876,214,232
104,16,882,228,240
105,16,888,211,248
127,16,896,229,256
137,16,906,226,264
143,16,909,225,272
146,16,914,222,280
149,16,914,222,288
164,16,906,226,296
199,16,902,204,304
0,17,912,231,8
1,17,909,225,16
6,17,909,225,24
12,17,914,222,32
22,17,915,216,40
24,17,915,216,48
26,17,909,225,56
27,17,914,222,64
54,17,915,216,72
56,17,909,225,80
60,17,902,204,88
63,17,892,210,96
64,17,888,211,104
72,17,888,211,112
74,17,892,210,120
76,17,888,211,128
81,17,880,205,136
86,17,882,228,144
87,17,888,211,152
88,17,880,205,160
94,17,876,214,168
100,17,877,221,176
102,17,876,214,184
104,17,882,228,192
105,17,888,211,200
127,17,896,229,208
137,17,906,226,216
143,17,909,225,224
146,17,914,222,232
149,17,914,222,240
164,17,906,226,248
199,17,902,204,256
0,18,766,269,8
1,18,764,271,16
6,18,764,271,24
29,18,770,254,32
38,18,770,254,40
43,18,770,254,48
65,18,764,271,56
84,18,770,254,64
94,18,764,271,72
102,18,764,271,80
125,18,770,254,88
127,18,764,271,96
148,18,770,254,104
159,18,770,254,112
160,18,770,254,120
191,18,770,254,128
192,18,764,271,136
0,19,19,331,8
1,19,16,328,16
6,19,16,328,24
10,19,21,322,32
26,19,21,322,40
31,19,21,322,48
38,19,26,327,56
66,19,21,322,64
67,19,16,328,72
83,19,26,327,80
0,20,23,336,8
1,20,26,327,16
6,20,26,327,24
10,20,21,322,32
26,20,21,322,40
31,20,21,322,48
38,20,26,327,56
66,20,21,322,64
67,20,16,328,72
83,20,26,327,80
0,21,15,340,8
1,21,16,328,16
